price,Locality,Area,Possession Status,Furnishing Status,Number of Rooms,Number of Bathroom,Number of Parking,View /Facing,Floor No.,Additional Rooms,Age of Property (Years),Total Floor Count,clustering
89.68,Bachupally,1950.0,Under Construction,Unfurnished,3,3,1,East,6.0,Pooja Room,0-1,15.0,high
85.03,Pragathi Nagar,1505.0,Under Construction,Unfurnished,3,3,2,East,3.0,Pooja Room,0-1,7.0,low
58.0,Pragathi Nagar,1220.0,Ready To Move,Unfurnished,2,2,1,East,1.0,"Pooja Room,Study Room",2-4,5.0,premium
106.0,Kompally,1945.0,Under Construction,Unfurnished,3,3,2,East,2.0,Pooja Room,0-1,10.0,high
89.85,Bachupally,1950.0,Under Construction,Unfurnished,3,3,1,East,6.0,Pooja Room,0-1,15.0,high
73.73,Gopanpally,1250.0,Under Construction,Unfurnished,2,2,1,East,3.0,"Pooja Room,Study Room",0-1,8.0,premium
80.0,Kapra,1625.0,Under Construction,Unfurnished,3,3,2,East,3.0,Pooja Room,0-1,5.0,low
39.15,Bacharam,1450.0,Under Construction,Unfurnished,2,2,1,North,4.0,Pooja Room,2-4,5.0,low
40.5,Bacharam,1500.0,Under Construction,Unfurnished,3,2,2,North,4.0,Pooja Room,2-4,5.0,low
124.0,Kondapur,1805.0,Ready To Move,Semi-Furnished,3,3,2,West,8.0,Pooja Room,0-1,20.0,low
83.0,Kondapur,1270.0,Ready To Move,Unfurnished,2,3,1,East,2.0,Pooja Room,0-1,5.0,premium
71.47,Pragathi Nagar,1265.0,Under Construction,Unfurnished,2,2,1,East,3.0,Pooja Room,0-1,7.0,premium
41.8,Beeramguda,1100.0,Ready To Move,Unfurnished,2,2,4,East,4.0,"Pooja Room,Study Room,Extra Room",2-4,9.0,premium
55.2,Bachupally,1150.0,Ready To Move,Unfurnished,2,2,1,East,5.0,Pooja Room,0-1,5.0,premium
48.0,Nizampet,1080.0,Ready To Move,Semi-Furnished,2,3,2,North,3.0,Pooja Room,2-4,5.0,premium
113.99999999999999,Kondapur,1525.0,Under Construction,Unfurnished,3,3,2,East,3.0,Pooja Room,0-1,12.0,low
89.68,Bachupally,1950.0,Under Construction,Unfurnished,3,2,1,East,1.0,Pooja Room,2-4,15.0,high
80.0,Bachupally,1450.0,Ready To Move,Unfurnished,2,2,1,East,4.0,Pooja Room,0-1,5.0,low
39.15,Bacharam,1450.0,Under Construction,Unfurnished,2,2,2,North,2.0,Pooja Room,2-4,5.0,low
40.0,Ghatkesar,1150.0,Ready To Move,Unfurnished,2,2,1,East,2.0,"Pooja Room,Servant Room",0-1,5.0,premium
67.0,Tellapur,1450.0,Under Construction,Unfurnished,2,2,1,East,2.0,Pooja Room,0-1,20.0,low
53.5,Ameenpur,1135.0,Under Construction,Unfurnished,2,2,1,East,5.0,Pooja Room,0-1,5.0,premium
89.58,Bachupally,1950.0,Under Construction,Unfurnished,3,3,2,East,6.0,Pooja Room,0-1,15.0,high
53.45,Ameenpur,1150.0,Under Construction,Unfurnished,2,2,1,East,4.0,Pooja Room,0-1,5.0,premium
70.0,Chanda Nagar,1130.0,Ready To Move,Unfurnished,2,3,1,East,18.0,Extra Room,0-1,5.0,premium
33.0,Medchal,1150.0,Under Construction,Unfurnished,2,2,1,East,18.0,Extra Room,0-1,5.0,premium
140.0,Kompally,2237.1499999999996,Under Construction,Unfurnished,3,3,2,East,2.0,Pooja Room,0-1,20.0,high
46.0,Patancheru Shankarpalli Road,1250.0,Ready To Move,Unfurnished,2,2,1,East,3.0,Pooja Room,0-1,5.0,premium
32.98,Bacharam,1100.0,Under Construction,Unfurnished,2,2,2,East,2.0,Pooja Room,0-1,5.0,premium
